"","fish_sp","site_code","grp2","class","family_cor","genus_cor","sp_cor","item_kingdom","item_phylum","item_class","item_ord_cor","item_fam_cor","item_gen_cor","item_sp_cor","item_spname","item_cor","item_raw","grp1","grp3"
"32","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Calanoida","Calanidae","Nannocalanus","minor","Nannocalanus minor","Nannocalanus minor","Nannocalanus_minor","Copepoda","Hexanauplia"
"33","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea",NA,"Oncaea sp","Oncaea sp","Oncaea_sp","Copepoda","Hexanauplia"
"35","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","Euchaeta","marina","Euchaeta marina","Euchaeta marina","Euchaeta_marina","Copepoda","Hexanauplia"
"36","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Harpacticoida","Miraciidae","Miracia","minor","Miracia minor","Miracia minor","Miracia_minor","Copepoda","Hexanauplia"
"37","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Calanoida","Candaciidae","Candacia","pachydactyla","Candacia pachydactyla","Candacia pachydactyla","Candacia_pachydactyla","Copepoda","Hexanauplia"
"38","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Poecilostomatoida","Corycaeidae","Corycaeus","subulatus","Corycaeus subulatus","Corycaeus subulatus","Corycaeus_subulatus","Copepoda","Hexanauplia"
"39","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Harpacticoida","Ectinosomatidae","Microsetella","norvegica","Microsetella norvegica","Microsetella norvegica","Microstella_norvegica","Copepoda","Hexanauplia"
"40","Abudefduf saxatilis","vir","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Scolecithrix","danae","Scolecithrix danae","Scolecithrix danae","Scolecithrix_danae","Copepoda","Hexanauplia"
"41","Abudefduf saxatilis","vir","Coralline algae","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Jania","rubens","Jania rubens","Jania rubens","Jania_rubens","Coralline algae","Coralline algae"
"42","Abudefduf saxatilis","vir","Cyanobacteria","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Lyngbya","majuscula","Lyngbya majuscula","Lyngbya majuscula","Lyngbya_majuscula","Cyanobacteria","Cyanobacteria"
"43","Abudefduf saxatilis","vir","Fish","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish_eggs","Fish_eggs","Zooplankton","Zooplankton"
"44","Abudefduf saxatilis","vir","Fish","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Jenkinsia",NA,"Jenkinsia sp","Jenkinsia sp","Jenkinsia_sp","Fish","Actinopterygii"
"45","Abudefduf saxatilis","vir","Gastropoda","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Mollusca","Gastropoda",NA,"Plakobranchidae","Tridachia","crispata","Tridachia crispata","Tridachia crispata","Opisthobranchia_Tridachia_crispata","Gastropoda","Gastropoda"
"46","Abudefduf saxatilis","vir","Hydrozoa","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Cnidaria","Hydrozoa","Siphonophorae",NA,NA,NA,NA,"Siphonophorae","Siphonophores","Hydrozoa","Hydrozoa"
"47","Abudefduf saxatilis","vir","Insecta","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,NA,"Hymenoptera","Ants","Insecta","Insecta"
"48","Abudefduf saxatilis","vir","Polychaeta","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Annelida","Polychaeta",NA,NA,NA,NA,NA,"Polychaeta","Polychaetes","Annelida","Polychaeta"
"49","Abudefduf saxatilis","vir","Shrimp","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Shrimp","Shrimp_larvae","Zooplankton","Zooplankton"
"50","Abudefduf saxatilis","vir","Tunicata","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Chordata","Appendicularia",NA,NA,NA,NA,NA,"Appendicularia","Appendicularians","Tunicata","Tunicata"
"51","Abudefduf saxatilis","vir","Zoantharia","Actinopterygii","Pomacentridae","Abudefduf","saxatilis","Animalia","Cnidaria","Anthozoa","Zoantharia","Zoanthidae","Zoanthus","sociatus","Zoanthus sociatus","Zoanthus sociatus","Zoanthus_sociatus","Anthozoa","Anthozoa"
"52","Abudefduf septemfasciatus","mari","Algae","Actinopterygii","Pomacentridae","Abudefduf","septemfasciatus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Algae_fronds","Benthic autotroph","Algae"
"53","Abudefduf septemfasciatus","mari","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","septemfasciatus","Animalia","Arthropoda","Hexanauplia",NA,NA,NA,NA,NA,"Copepoda","Copepods","Copepoda","Hexanauplia"
"54","Abudefduf septemfasciatus","mari","Fish","Actinopterygii","Pomacentridae","Abudefduf","septemfasciatus","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish","Fish_frags","Fish","Actinopterygii"
"55","Abudefduf septemfasciatus","mari","Shrimp","Actinopterygii","Pomacentridae","Abudefduf","septemfasciatus","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae",NA,NA,NA,"Palaemonidae","Palaemonidae_larvae","Zooplankton","Zooplankton"
"56","Abudefduf sexfasciatus","mad","Algae","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Filamentous_algae","Benthic autotroph","Algae"
"57","Abudefduf sexfasciatus","mad","Amphipoda","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,NA,"Amphipoda","Amphipodes","Amphipoda","Malacostraca"
"58","Abudefduf sexfasciatus","mad","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,NA,"Calanoida","Calanoida","Copepoda","Hexanauplia"
"59","Abudefduf sexfasciatus","mad","Crab","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Brachyura","Brachyura_larvae","Zooplankton","Zooplankton"
"60","Abudefduf sexfasciatus","mad","Detritus","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus",NA,NA,NA,NA,NA,NA,NA,NA,"Detritus_OM","OM","Detritus","Detritus"
"61","Abudefduf sexfasciatus","mad","Fish","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish_eggs","Fish_eggs","Zooplankton","Zooplankton"
"62","Abudefduf sexfasciatus","mad","Foraminifera","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Chromatista","Foraminifera",NA,NA,NA,NA,NA,NA,"Foraminifera","Foraminifera","Foraminifera","Foraminifera"
"63","Abudefduf sexfasciatus","mad","Gastropoda","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Mollusca","Gastropoda",NA,NA,NA,NA,NA,"Gastropoda","Gastropodes","Gastropoda","Gastropoda"
"64","Abudefduf sexfasciatus","mad","Hydrozoa","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Cnidaria","Hydrozoa",NA,NA,NA,NA,NA,"Hydrozoa","Hydraires","Hydrozoa","Hydrozoa"
"65","Abudefduf sexfasciatus","mad","Isopoda","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,NA,"Isopoda","Isopods","Isopoda","Malacostraca"
"66","Abudefduf sexfasciatus","mad","Ostracoda","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Arthropoda","Ostracoda",NA,NA,NA,NA,NA,"Ostracoda","Ostracodes","Ostracoda","Ostracoda"
"67","Abudefduf sexfasciatus","mad","Polychaeta","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Annelida","Polychaeta",NA,NA,NA,NA,NA,"Polychaeta","Polychaetes larvae","Annelida","Polychaeta"
"68","Abudefduf sexfasciatus","mad","Shrimp","Actinopterygii","Pomacentridae","Abudefduf","sexfasciatus","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Shrimp","Shrimp","Shrimp","Malacostraca"
"69","Abudefduf sordidus","haw","Algae","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Algae_diatoms","Benthic autotroph","Algae"
"70","Abudefduf sordidus","haw","Amphipoda","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,NA,"Gammaridae","Gammarids","Amphipoda","Malacostraca"
"71","Abudefduf sordidus","haw","Bryozoa","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Bryozoa",NA,NA,NA,NA,NA,NA,"Bryozoa","Bryozoa","Bryozoa","Bryozoa"
"72","Abudefduf sordidus","haw","Crab","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Crab","Crab","Crab","Malacostraca"
"73","Abudefduf sordidus","haw","Gastropoda","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Mollusca","Gastropoda",NA,NA,NA,NA,NA,"Prosobranchia","Prosobranch gastropods","Gastropoda","Gastropoda"
"74","Abudefduf sordidus","haw","Gastropoda","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Mollusca","Gastropoda",NA,NA,NA,NA,NA,"Prosobranchia","Prosobranch gastropods eggs","Zooplankton","Zooplankton"
"75","Abudefduf sordidus","haw","Hydrozoa","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Cnidaria","Hydrozoa",NA,NA,NA,NA,NA,"Hydrozoa","Hydroids","Hydrozoa","Hydrozoa"
"76","Abudefduf sordidus","haw","Insecta","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,"Insecta","Insecta","Insecta","Insecta"
"77","Abudefduf sordidus","haw","Polychaeta","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Annelida","Polychaeta",NA,NA,NA,NA,NA,"Polychaeta","Polychaetes","Annelida","Polychaeta"
"78","Abudefduf sordidus","haw","Porifera","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Porifera",NA,NA,NA,NA,NA,NA,"Porifera","Sponges","Porifera","Porifera"
"79","Abudefduf sordidus","haw","Pycnogonida","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Pycnogonida",NA,NA,NA,NA,NA,"Pycnogonida","Pycnogonids","Pycnogonida","Pycnogonida"
"80","Abudefduf sordidus","haw","Tanaidacea","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,NA,"Tanaidacea","Tanaid","Tanaidacea","Malacostraca"
"81","Abudefduf sordidus","mari","Algae","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Algae_pebbles","Benthic autotroph","Algae"
"82","Abudefduf sordidus","mari","Algae","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Algae_scrapings_limestone_powder","Benthic autotroph","Algae"
"83","Abudefduf sordidus","mari","Algae","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Algae_filaments","Benthic autotroph","Algae"
"84","Abudefduf sordidus","mari","Algae","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Algae_filaments_sand","Benthic autotroph","Algae"
"85","Abudefduf sordidus","mari","Amphipoda","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,NA,"Amphipoda","Amphipoda","Amphipoda","Malacostraca"
"86","Abudefduf sordidus","mari","Arachnida","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Arachnida",NA,NA,NA,NA,NA,"Acari","Mites","Arachnida","Arachnida"
"87","Abudefduf sordidus","mari","Bivalvia","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Mollusca","Bivalvia",NA,NA,NA,NA,NA,"Bivalvia","Pelecypoda_frags","Bivalvia","Bivalvia"
"88","Abudefduf sordidus","mari","Crab","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Crab","Crab_frags","Crab","Malacostraca"
"89","Abudefduf sordidus","mari","Detritus","Actinopterygii","Pomacentridae","Abudefduf","sordidus",NA,NA,NA,NA,NA,NA,NA,NA,"Detritus_OM","Detritus_sand","Detritus","Detritus"
"90","Abudefduf sordidus","mari","Fish","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish","Fish_frags","Fish","Actinopterygii"
"91","Abudefduf sordidus","mari","Foraminifera","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Chromatista","Foraminifera","Globothalamea","Rotaliida","Calcarinidae","Calcarina",NA,"Calcarina sp","Calcarina sp","Calcarina_sp","Foraminifera","Foraminifera"
"92","Abudefduf sordidus","mari","Hydrozoa","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Cnidaria","Hydrozoa",NA,NA,NA,NA,NA,"Hydrozoa","Hydroids","Hydrozoa","Hydrozoa"
"93","Abudefduf sordidus","mari","Isopoda","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,NA,"Isopoda","Isopods","Isopoda","Malacostraca"
"94","Abudefduf sordidus","mari","Polychaeta","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Annelida","Polychaeta",NA,NA,NA,NA,NA,"Polychaeta","Polychaeta","Annelida","Polychaeta"
"95","Abudefduf sordidus","mari","Shrimp","Actinopterygii","Pomacentridae","Abudefduf","sordidus","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Shrimp","Shrimp_frags","Shrimp","Malacostraca"
"96","Abudefduf sparoides","mad","Algae","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Plantae",NA,NA,NA,NA,NA,NA,NA,"Algae","Filamentous_algae","Benthic autotroph","Algae"
"97","Abudefduf sparoides","mad","Algae","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Plantae",NA,NA,NA,NA,NA,NA,NA,"Macroalgae","Macroalgae","Benthic autotroph","Algae"
"98","Abudefduf sparoides","mad","Amphipoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,NA,"Amphipoda","Amphipodes","Amphipoda","Malacostraca"
"99","Abudefduf sparoides","mad","Bivalvia","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Mollusca","Bivalvia",NA,NA,NA,NA,NA,"Bivalvia","Pelecypodes","Bivalvia","Bivalvia"
"100","Abudefduf sparoides","mad","Cirripedia","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Hexanauplia",NA,NA,NA,NA,NA,"Cirripedia","Cirripèdes","Cirripedia","Hexanauplia"
"101","Abudefduf sparoides","mad","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Hexanauplia","Cyclopoida",NA,NA,NA,NA,"Cyclopoida","Cyclopoida","Copepoda","Hexanauplia"
"102","Abudefduf sparoides","mad","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,NA,"Calanoida","Calanoida","Copepoda","Hexanauplia"
"103","Abudefduf sparoides","mad","Copepoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,NA,"Harpacticoida","Harpacticoida","Copepoda","Hexanauplia"
"104","Abudefduf sparoides","mad","Crab","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,"Brachyura","Brachyura_larvae","Zooplankton","Zooplankton"
"105","Abudefduf sparoides","mad","Detritus","Actinopterygii","Pomacentridae","Abudefduf","sparoides",NA,NA,NA,NA,NA,NA,NA,NA,"Detritus_OM","Debris_OM","Detritus","Detritus"
"106","Abudefduf sparoides","mad","Fish","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish_eggs","Fish_eggs","Zooplankton","Zooplankton"
"107","Abudefduf sparoides","mad","Fish","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish","Fish","Fish","Actinopterygii"
"108","Abudefduf sparoides","mad","Fish","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,NA,"Fish_larvae","Fish_larvae","Fish","Actinopterygii"
"109","Abudefduf sparoides","mad","Foraminifera","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Chromatista","Foraminifera",NA,NA,NA,NA,NA,NA,"Foraminifera","Foraminifera","Foraminifera","Foraminifera"
"110","Abudefduf sparoides","mad","Gastropoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Mollusca","Gastropoda",NA,NA,NA,NA,NA,"Gastropoda","Gastropodes","Gastropoda","Gastropoda"
"111","Abudefduf sparoides","mad","Hydrozoa","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Cnidaria","Hydrozoa",NA,NA,NA,NA,NA,"Hydrozoa","Hydraires","Hydrozoa","Hydrozoa"
"112","Abudefduf sparoides","mad","Isopoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,NA,"Isopoda","Isopods","Isopoda","Malacostraca"
"113","Abudefduf sparoides","mad","Nematoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,"Nematoda","Nematodes","Microfauna","Microfauna"
"114","Abudefduf sparoides","mad","Ostracoda","Actinopterygii","Pomacentridae","Abudefduf","sparoides","Animalia","Arthropoda","Ostracoda",NA,NA,NA,NA,NA,"Ostracoda","Ostracodes","Ostracoda","Ostracoda"
